preprocessamento,encoding,padronizacao,target_transform,max_depth,r2_score,mape,mae,mse,rmse
com_dummy_com_std,one_hot,StandardScaler,nenhum,1,0.360595,86.69,44729.44,3692643257.89,60767.12
com_dummy_com_std,one_hot,StandardScaler,nenhum,2,0.398555,77.32,43232.92,3473419492.39,58935.72
com_dummy_com_std,one_hot,StandardScaler,nenhum,3,0.4836,66.06,38016.1,2982276160.54,54610.22
com_dummy_com_std,one_hot,StandardScaler,nenhum,4,0.247141,73.7,44539.8,4347856438.81,65938.28
com_dummy_com_std,one_hot,StandardScaler,nenhum,5,0.14103,76.31,44037.31,4960659451.13,70431.95
com_dummy_com_std,one_hot,StandardScaler,nenhum,6,0.291526,70.09,42181.12,4091526249.69,63965.04
com_dummy_com_std,one_hot,StandardScaler,nenhum,7,0.095537,84.22,44331.24,5223390511.97,72273.03
com_dummy_com_std,one_hot,StandardScaler,nenhum,8,0.051918,84.54,47348.87,5475293536.41,73995.23
com_dummy_com_std,one_hot,StandardScaler,nenhum,9,0.020529,85.21,47468.89,5656567451.01,75210.16
com_dummy_com_std,one_hot,StandardScaler,nenhum,10,0.139044,83.61,47428.35,4972129326.24,70513.33
com_dummy_com_std,one_hot,StandardScaler,nenhum,11,0.120183,87.89,48156.07,5081055203.58,71281.52
com_dummy_com_std,one_hot,StandardScaler,nenhum,12,-0.027203,83.77,49200.99,5932225752.41,77020.94
com_dummy_com_std,one_hot,StandardScaler,nenhum,13,0.239571,85.54,46902.55,4391571928.8,66268.94
com_dummy_com_std,one_hot,StandardScaler,nenhum,14,-0.0467,87.6,49852.68,6044825165.32,77748.47
com_dummy_com_std,one_hot,StandardScaler,nenhum,15,0.246136,77.34,45875.5,4353659551.83,65982.27
com_dummy_com_std,one_hot,StandardScaler,nenhum,16,0.254748,82.69,45771.61,4303922668.1,65604.29
com_dummy_com_std,one_hot,StandardScaler,nenhum,17,-0.056396,87.65,50209.71,6100822459.35,78107.76
com_dummy_com_std,one_hot,StandardScaler,nenhum,18,-0.003357,85.79,49507.41,5794510495.69,76121.68
com_dummy_com_std,one_hot,StandardScaler,nenhum,19,-0.020003,86.09,50177.86,5890648042.9,76750.56
com_dummy_com_std,one_hot,StandardScaler,nenhum,20,-0.024464,86.99,50612.5,5916406929.43,76918.18
com_dummy_com_std,one_hot,StandardScaler,log,1,0.213936,91.12,47937.09,4539620732.73,67376.71
com_dummy_com_std,one_hot,StandardScaler,log,2,0.299587,74.62,43146.64,4044975023.71,63600.12
com_dummy_com_std,one_hot,StandardScaler,log,3,0.069826,94.79,47953.66,5371870009.61,73293.04
com_dummy_com_std,one_hot,StandardScaler,log,4,0.289659,76.24,41827.7,4102308102.82,64049.26
com_dummy_com_std,one_hot,StandardScaler,log,5,0.304547,75.24,40850.99,4016326154.37,63374.49
com_dummy_com_std,one_hot,StandardScaler,log,6,0.225707,75.43,42706.41,4471641348.21,66870.33
com_dummy_com_std,one_hot,StandardScaler,log,7,0.1849,74.65,42164.07,4707303743.79,68609.79
com_dummy_com_std,one_hot,StandardScaler,log,8,-0.388007,107.48,46697.17,8015914509.3,89531.64
com_dummy_com_std,one_hot,StandardScaler,log,9,-0.101531,95.28,45784.59,6361481080.72,79758.89
com_dummy_com_std,one_hot,StandardScaler,log,10,-0.334674,117.44,50396.66,7707907951.02,87794.69
com_dummy_com_std,one_hot,StandardScaler,log,11,0.297638,85.73,44932.0,4056231818.51,63688.55
com_dummy_com_std,one_hot,StandardScaler,log,12,-0.298712,106.95,51842.38,7500225657.32,86603.84
com_dummy_com_std,one_hot,StandardScaler,log,13,0.057986,90.06,48099.84,5440250709.7,73758.06
com_dummy_com_std,one_hot,StandardScaler,log,14,0.173715,87.52,46559.48,4771901474.12,69078.95
com_dummy_com_std,one_hot,StandardScaler,log,15,-0.215908,106.98,50758.1,7022023080.45,83797.51
com_dummy_com_std,one_hot,StandardScaler,log,16,-0.216551,107.05,50829.35,7025734950.76,83819.66
com_dummy_com_std,one_hot,StandardScaler,log,17,-0.216551,107.05,50829.35,7025734950.76,83819.66
com_dummy_com_std,one_hot,StandardScaler,log,18,-0.216551,107.05,50829.35,7025734950.76,83819.66
com_dummy_com_std,one_hot,StandardScaler,log,19,-0.216551,107.05,50829.35,7025734950.76,83819.66
com_dummy_com_std,one_hot,StandardScaler,log,20,-0.216551,107.05,50829.35,7025734950.76,83819.66
com_dummy_sem_std,one_hot,nenhuma,nenhum,1,0.360595,86.69,44729.44,3692643257.89,60767.12
com_dummy_sem_std,one_hot,nenhuma,nenhum,2,0.398555,77.32,43232.92,3473419492.39,58935.72
com_dummy_sem_std,one_hot,nenhuma,nenhum,3,0.4836,66.06,38016.1,2982276160.54,54610.22
com_dummy_sem_std,one_hot,nenhuma,nenhum,4,0.247141,73.7,44539.8,4347856438.81,65938.28
com_dummy_sem_std,one_hot,nenhuma,nenhum,5,0.14103,76.31,44037.31,4960659451.13,70431.95
com_dummy_sem_std,one_hot,nenhuma,nenhum,6,0.291526,70.09,42181.12,4091526249.69,63965.04
com_dummy_sem_std,one_hot,nenhuma,nenhum,7,0.095537,84.22,44331.24,5223390511.97,72273.03
com_dummy_sem_std,one_hot,nenhuma,nenhum,8,0.051918,84.54,47348.87,5475293536.41,73995.23
com_dummy_sem_std,one_hot,nenhuma,nenhum,9,0.020529,85.21,47468.89,5656567451.01,75210.16
com_dummy_sem_std,one_hot,nenhuma,nenhum,10,0.139044,83.61,47428.35,4972129326.24,70513.33
com_dummy_sem_std,one_hot,nenhuma,nenhum,11,0.120183,87.89,48156.07,5081055203.58,71281.52
com_dummy_sem_std,one_hot,nenhuma,nenhum,12,-0.027203,83.77,49200.99,5932225752.41,77020.94
com_dummy_sem_std,one_hot,nenhuma,nenhum,13,0.239571,85.54,46902.55,4391571928.8,66268.94
com_dummy_sem_std,one_hot,nenhuma,nenhum,14,-0.0467,87.6,49852.68,6044825165.32,77748.47
com_dummy_sem_std,one_hot,nenhuma,nenhum,15,0.246136,77.34,45875.5,4353659551.83,65982.27
com_dummy_sem_std,one_hot,nenhuma,nenhum,16,0.254748,82.69,45771.61,4303922668.1,65604.29
com_dummy_sem_std,one_hot,nenhuma,nenhum,17,-0.056396,87.65,50209.71,6100822459.35,78107.76
com_dummy_sem_std,one_hot,nenhuma,nenhum,18,-0.003357,85.79,49507.41,5794510495.69,76121.68
com_dummy_sem_std,one_hot,nenhuma,nenhum,19,-0.020003,86.09,50177.86,5890648042.9,76750.56
com_dummy_sem_std,one_hot,nenhuma,nenhum,20,-0.024464,86.99,50612.5,5916406929.43,76918.18
com_dummy_sem_std,one_hot,nenhuma,log,1,0.213936,91.12,47937.09,4539620732.73,67376.71
com_dummy_sem_std,one_hot,nenhuma,log,2,0.299587,74.62,43146.64,4044975023.71,63600.12
com_dummy_sem_std,one_hot,nenhuma,log,3,0.069826,94.79,47953.66,5371870009.61,73293.04
com_dummy_sem_std,one_hot,nenhuma,log,4,0.289659,76.24,41827.7,4102308102.82,64049.26
com_dummy_sem_std,one_hot,nenhuma,log,5,0.304547,75.24,40850.99,4016326154.37,63374.49
com_dummy_sem_std,one_hot,nenhuma,log,6,0.225707,75.43,42706.41,4471641348.21,66870.33
com_dummy_sem_std,one_hot,nenhuma,log,7,0.1849,74.65,42164.07,4707303743.79,68609.79
com_dummy_sem_std,one_hot,nenhuma,log,8,-0.388007,107.48,46697.17,8015914509.3,89531.64
com_dummy_sem_std,one_hot,nenhuma,log,9,-0.101531,95.28,45784.59,6361481080.72,79758.89
com_dummy_sem_std,one_hot,nenhuma,log,10,-0.334674,117.44,50396.66,7707907951.02,87794.69
com_dummy_sem_std,one_hot,nenhuma,log,11,0.297638,85.73,44932.0,4056231818.51,63688.55
com_dummy_sem_std,one_hot,nenhuma,log,12,-0.298712,106.95,51842.38,7500225657.32,86603.84
com_dummy_sem_std,one_hot,nenhuma,log,13,0.057986,90.06,48099.84,5440250709.7,73758.06
com_dummy_sem_std,one_hot,nenhuma,log,14,0.173715,87.52,46559.48,4771901474.12,69078.95
com_dummy_sem_std,one_hot,nenhuma,log,15,-0.215908,106.98,50758.1,7022023080.45,83797.51
com_dummy_sem_std,one_hot,nenhuma,log,16,-0.216551,107.05,50829.35,7025734950.76,83819.66
com_dummy_sem_std,one_hot,nenhuma,log,17,-0.216551,107.05,50829.35,7025734950.76,83819.66
com_dummy_sem_std,one_hot,nenhuma,log,18,-0.216551,107.05,50829.35,7025734950.76,83819.66
com_dummy_sem_std,one_hot,nenhuma,log,19,-0.216551,107.05,50829.35,7025734950.76,83819.66
com_dummy_sem_std,one_hot,nenhuma,log,20,-0.216551,107.05,50829.35,7025734950.76,83819.66
sem_dummy_com_std,label_encoder,StandardScaler,nenhum,1,0.277842,109.93,47137.48,4170553151.37,64579.82
sem_dummy_com_std,label_encoder,StandardScaler,nenhum,2,0.350047,100.47,44681.32,3753562223.39,61266.32
sem_dummy_com_std,label_encoder,StandardScaler,nenhum,3,0.409802,87.97,41437.63,3408467750.97,58382.08
sem_dummy_com_std,label_encoder,StandardScaler,nenhum,4,0.121046,105.09,44360.23,5076069644.03,71246.54
sem_dummy_com_std,label_encoder,StandardScaler,nenhum,5,0.234351,89.71,43729.46,4421717377.85,66496.0
sem_dummy_com_std,label_encoder,StandardScaler,nenhum,6,0.198943,92.88,45052.45,4626206186.34,68016.22
sem_dummy_com_std,label_encoder,StandardScaler,nenhum,7,-0.16702,122.48,47570.19,6739684586.69,82095.58
sem_dummy_com_std,label_encoder,StandardScaler,nenhum,8,-0.046931,123.62,46289.99,6046160988.33,77757.06
sem_dummy_com_std,label_encoder,StandardScaler,nenhum,9,-0.061186,122.15,47129.59,6128484401.12,78284.64
sem_dummy_com_std,label_encoder,StandardScaler,nenhum,10,-0.106475,121.95,49369.94,6390030605.96,79937.67
sem_dummy_com_std,label_encoder,StandardScaler,nenhum,11,0.118122,93.34,49553.95,5092958656.24,71364.97
sem_dummy_com_std,label_encoder,StandardScaler,nenhum,12,-0.285364,109.2,53720.97,7423136343.78,86157.62
sem_dummy_com_std,label_encoder,StandardScaler,nenhum,13,-0.118137,117.65,49786.76,6457384604.22,80357.85
sem_dummy_com_std,label_encoder,StandardScaler,nenhum,14,-0.332812,120.01,52740.25,7697159206.82,87733.46
sem_dummy_com_std,label_encoder,StandardScaler,nenhum,15,-0.327751,120.95,52276.74,7667931538.77,87566.73
