work_year,experience_level,employment_type,job_group,employee_region,remote_ratio,company_region,company_size,is_us_company
2021,2,2,2,4,100,4,0,1
2022,0,3,2,3,50,3,1,0
2021,1,2,2,6,0,6,2,0
2021,1,2,3,4,50,4,0,1
2022,1,2,0,7,100,7,1,0
2021,1,2,2,1,100,7,2,0
2021,1,2,1,4,0,4,1,1
2022,1,2,2,4,100,4,1,1
2022,3,2,1,4,100,4,1,1
2021,0,2,2,7,50,7,0,0
2021,1,2,0,4,100,4,0,1
2022,0,0,3,5,100,1,1,0
2022,2,2,0,4,100,4,1,1
2022,2,2,1,4,100,4,1,1
2021,1,2,1,3,0,3,1,0
2022,2,2,0,4,100,4,1,0
2022,0,2,2,0,100,0,0,0
2022,1,2,1,7,100,7,1,0
2022,2,2,2,4,100,4,0,1
2021,1,2,0,4,0,4,0,1
2021,2,2,1,4,0,4,0,1
2020,0,2,1,4,100,4,0,1
2021,2,2,2,7,50,7,0,0
2021,3,0,2,4,100,4,2,1
2021,0,2,1,6,100,6,0,0
2020,0,2,3,4,50,4,0,1
2022,2,2,1,4,100,4,1,1
2022,1,2,2,4,0,4,1,1
2021,2,2,1,4,100,4,2,1
2021,1,0,3,4,100,4,0,1
2021,0,2,0,3,100,3,2,0
2022,1,2,4,4,100,4,1,1
2020,0,2,2,7,0,7,2,0
2022,2,2,1,4,100,4,1,1
2021,0,2,3,7,100,7,2,0
2022,2,2,0,4,100,4,1,1
2021,0,2,0,4,100,4,2,1
2022,1,2,0,7,100,7,1,0
2022,1,2,3,7,0,7,1,0
2021,2,2,1,1,50,7,2,0
2022,2,2,2,4,100,4,1,1
2021,0,2,2,4,100,4,2,1
2022,2,2,1,4,100,4,1,1
2021,2,2,3,4,100,4,2,1
2021,2,0,2,4,100,4,1,1
2022,1,1,2,4,100,4,1,1
2021,1,2,1,1,50,1,0,0
2022,1,2,2,4,0,4,1,1
2021,1,2,2,6,100,4,2,1
2021,2,2,2,4,100,4,0,1
2022,3,2,1,4,100,4,1,1
2021,1,2,3,0,100,4,1,1
2022,0,2,0,4,0,4,1,0
2020,1,2,0,6,50,6,0,0
2021,1,2,2,4,50,4,0,1
2022,2,2,1,4,100,4,1,1
2022,2,2,0,4,0,4,1,1
2022,1,2,0,4,0,4,1,0
2020,2,2,1,1,100,7,2,0
2022,3,2,0,4,100,4,1,1
2022,2,2,4,4,100,4,1,1
2020,0,2,2,7,0,7,2,0
2021,2,2,3,4,100,4,0,1
2022,2,2,1,4,100,4,1,1
2020,0,3,3,7,100,7,2,0
2022,2,2,2,4,100,4,1,1
2022,2,2,2,4,0,4,0,1
2021,2,2,6,4,50,4,0,0
2021,2,2,1,0,100,7,1,0
2022,2,2,0,4,100,4,1,1
2022,1,2,1,7,100,7,1,0
2022,2,2,1,7,0,7,1,0
2022,2,2,2,4,100,4,1,1
2022,1,2,2,4,100,4,1,1
2020,1,2,2,7,100,7,2,0
2022,1,2,6,4,0,4,1,1
2021,2,2,1,4,100,4,0,1
2020,1,2,5,6,100,6,0,0
2021,2,2,0,1,100,4,2,1
2022,1,2,2,7,0,7,1,0
2021,2,2,4,4,100,7,0,0
2022,2,2,1,4,100,4,0,1
2021,0,2,6,6,100,5,2,0
2022,2,2,0,4,100,4,1,1
2020,1,2,2,7,50,7,2,0
2021,2,2,0,1,100,7,0,0
2022,2,2,1,4,0,4,1,1
2021,1,2,1,1,100,1,0,0
2022,2,2,2,4,0,4,1,1
2021,1,2,3,1,100,1,0,0
2022,2,2,0,4,100,4,1,1
2022,2,2,2,4,100,4,1,1
2021,2,2,4,1,100,1,0,0
2021,1,2,0,1,50,4,0,1
2021,2,2,1,4,100,4,1,1
2022,2,2,1,4,0,4,1,1
2022,2,2,1,4,100,4,1,1
2021,1,1,1,7,0,4,0,1
2021,0,3,6,2,100,4,2,1
2022,2,2,2,4,0,4,1,1
2022,3,2,4,4,100,4,1,1
2021,1,2,0,4,100,4,0,1
2022,2,2,1,4,0,4,1,1
2021,2,2,2,3,50,3,0,0
2022,1,2,1,7,0,7,1,0
2022,2,2,0,4,100,4,1,1
2021,2,2,4,6,50,6,0,0
2022,2,2,1,4,100,4,1,1
2022,2,2,2,4,100,4,1,1
2022,2,2,1,4,100,4,1,1
2022,0,2,6,4,100,4,0,1
2021,0,2,0,4,100,4,2,1
2022,2,2,1,4,100,4,1,1
2021,1,2,2,4,50,4,0,1
2021,1,2,6,4,100,4,1,0
2022,2,2,2,4,100,4,1,1
2020,2,2,3,0,0,0,2,0
2022,3,2,1,4,100,4,1,1
2022,2,2,3,4,100,4,1,1
2020,0,2,2,7,0,7,1,0
2022,2,2,0,4,100,4,1,1
2022,2,2,1,4,0,4,1,1
2021,0,2,3,4,100,4,2,1
2022,2,2,1,4,100,4,1,1
2022,3,2,1,4,100,4,2,0
2021,0,3,6,6,100,4,1,1
2021,1,2,2,7,100,7,0,0
2021,1,2,0,4,100,4,1,1
2022,0,2,3,4,0,4,1,1
2022,2,2,0,4,100,4,1,1
2021,0,2,2,4,0,4,2,1
2022,2,2,1,4,100,4,1,1
2021,2,2,2,7,50,7,1,0
2022,2,2,2,4,0,4,0,1
2022,2,2,2,7,0,7,1,0
2022,2,2,2,4,100,4,1,1
2021,2,2,1,7,100,7,2,0
2022,1,2,3,4,100,4,0,1
2022,2,2,2,4,100,4,1,1
2022,2,2,2,4,0,4,0,1
2020,0,2,2,7,50,7,2,0
2022,2,2,0,4,100,4,1,1
