work_year,experience_level,employment_type,job_group,employee_region,remote_ratio,company_region,company_size,is_us_company
2021,2,2,3,4,50,4,2,1
2022,2,2,0,4,100,4,1,1
2021,2,2,3,6,0,6,0,0
2021,0,2,2,6,100,6,1,0
2021,1,2,1,4,100,4,0,1
2022,1,2,3,4,50,4,0,1
2021,1,2,3,0,50,0,2,0
2022,2,2,2,4,0,4,1,1
2020,1,2,2,1,50,1,0,0
2022,2,2,2,2,100,2,0,0
2022,2,2,0,4,100,4,1,1
2022,1,2,1,7,0,7,1,0
2022,1,2,0,7,0,7,1,0
2022,1,2,1,7,100,7,1,0
2021,2,2,2,4,50,4,0,0
2022,1,2,2,3,100,4,2,1
2021,2,2,1,4,100,4,0,1
2021,1,2,0,4,100,4,0,1
2021,2,2,2,4,100,4,0,0
2021,0,2,2,1,100,1,0,0
2020,2,1,3,3,100,4,2,1
2020,1,2,1,7,100,7,2,0
2021,2,2,1,4,100,4,0,1
2020,1,2,1,7,50,7,0,0
2021,1,2,0,4,0,4,0,1
2022,2,2,0,4,0,4,1,1
2022,2,2,0,4,100,4,1,1
2022,2,2,2,4,100,4,0,1
2022,2,2,2,7,0,7,1,0
2020,1,2,2,7,100,7,1,0
2021,1,2,1,4,100,4,0,1
2020,1,2,1,4,100,4,0,1
2020,2,2,2,4,100,4,2,1
2020,1,2,0,4,100,4,0,1
2022,2,2,1,4,100,4,0,1
2021,1,2,2,7,100,7,1,0
2022,2,2,2,4,0,4,1,1
2021,1,2,1,3,100,3,1,0
2022,1,2,1,7,100,7,1,0
2021,2,2,1,7,50,7,0,0
2020,0,2,0,3,100,3,2,0
2021,1,2,6,1,50,1,0,0
2022,2,2,2,4,100,4,0,1
2022,2,2,0,4,100,4,1,1
2022,2,2,0,4,100,4,1,1
2022,1,2,4,4,100,4,1,1
2022,1,2,1,7,100,7,1,0
2021,1,2,2,2,0,2,2,0
2022,0,2,1,6,0,6,1,0
2021,0,3,0,7,50,7,1,0
2021,2,2,4,4,100,4,0,1
2022,1,2,2,7,0,7,1,0
2020,1,2,2,4,100,4,1,1
2021,0,2,1,4,100,4,0,1
2022,1,2,2,7,0,7,0,0
2022,2,2,1,4,0,4,1,1
2022,1,2,6,6,100,4,0,1
2022,2,2,2,4,100,4,1,1
2022,1,2,2,4,100,4,1,1
2022,2,2,1,4,100,4,1,1
2021,1,2,6,7,50,7,2,0
2020,2,2,2,7,100,7,1,0
2021,1,2,1,7,100,7,0,0
2022,1,2,1,7,0,7,1,0
2022,2,2,1,4,100,4,1,1
2021,2,2,0,4,100,4,1,1
2021,0,2,1,6,0,7,0,0
2020,1,2,0,7,50,7,0,0
2022,2,2,1,4,100,4,1,1
2020,0,2,2,6,50,6,1,0
2022,1,2,1,4,100,4,1,1
2020,0,2,0,4,100,4,0,1
2022,2,2,1,4,100,4,1,1
2020,0,2,6,7,50,7,2,0
2021,3,2,4,4,100,4,0,1
2020,0,2,6,7,50,7,0,0
2021,2,2,2,4,100,4,0,1
2021,1,2,0,6,100,6,0,0
2021,3,2,4,4,0,4,0,1
2020,2,2,3,4,50,4,0,1
2022,1,2,1,4,0,4,1,1
2021,1,2,2,7,50,7,0,0
2021,2,2,2,4,100,4,2,0
2022,1,2,2,4,100,4,1,0
2021,2,2,1,2,50,4,2,1
2022,2,2,2,2,100,4,1,1
2020,0,2,0,4,100,4,0,1
2021,2,2,4,4,0,4,0,1
2022,2,2,2,4,0,4,1,1
2021,1,2,2,7,50,7,1,0
2021,1,2,0,4,100,4,1,1
2022,2,2,1,4,100,4,0,1
2021,0,2,0,4,100,4,1,1
2022,2,2,2,4,100,4,1,1
2020,2,2,1,1,50,1,0,0
2020,0,2,2,4,100,4,2,1
2021,1,2,3,1,50,1,0,0
2020,1,2,3,0,0,0,1,0
2022,1,2,3,4,100,4,2,1
2022,2,2,1,4,0,4,1,1
2020,1,2,0,4,100,4,0,1
2021,1,2,1,4,100,4,0,1
2022,2,2,1,4,100,4,1,0
2022,2,2,2,4,100,4,1,1
2022,0,2,2,4,100,4,0,0
2021,1,2,2,7,50,7,0,0
2022,2,2,0,4,100,4,1,1
2020,2,2,3,1,100,1,2,0
2022,2,2,1,4,0,4,1,1
2022,0,2,1,4,100,4,1,1
2021,1,2,1,7,50,1,1,0
2021,1,2,1,4,100,4,0,1
2022,2,2,3,7,100,7,2,0
2022,2,2,0,4,100,4,1,1
2022,2,2,2,4,100,4,1,1
2022,2,2,0,4,100,4,1,1
2022,2,2,0,4,100,4,1,1
2021,3,2,4,3,50,3,0,0
2022,2,2,2,4,100,4,1,1
2021,0,2,1,6,50,6,1,0
