preprocessamento,encoding,padronizacao,target_transform,n_estimators,max_depth,max_features,r2_score,mape,mae,mse,rmse
com_dummy_com_std,one_hot,StandardScaler,nenhum,100,10,sqrt,0.41651,74.3,40374.67,3369729384.05,58049.37
com_dummy_com_std,one_hot,StandardScaler,nenhum,100,10,log2,0.41651,74.3,40374.67,3369729384.05,58049.37
com_dummy_com_std,one_hot,StandardScaler,nenhum,100,10,all,0.350505,77.17,42914.8,3750916336.33,61244.72
com_dummy_com_std,one_hot,StandardScaler,nenhum,100,20,sqrt,0.370099,74.72,42058.35,3637755733.05,60313.81
com_dummy_com_std,one_hot,StandardScaler,nenhum,100,20,log2,0.370099,74.72,42058.35,3637755733.05,60313.81
com_dummy_com_std,one_hot,StandardScaler,nenhum,100,20,all,0.33821,76.64,43357.69,3821923144.32,61821.7
com_dummy_com_std,one_hot,StandardScaler,nenhum,100,None,sqrt,0.364033,74.92,42137.05,3672790279.86,60603.55
com_dummy_com_std,one_hot,StandardScaler,nenhum,100,None,log2,0.364033,74.92,42137.05,3672790279.86,60603.55
com_dummy_com_std,one_hot,StandardScaler,nenhum,100,None,all,0.334778,76.4,43449.38,3841738880.18,61981.76
com_dummy_com_std,one_hot,StandardScaler,nenhum,200,10,sqrt,0.41426,74.96,40393.29,3382723141.53,58161.18
com_dummy_com_std,one_hot,StandardScaler,nenhum,200,10,log2,0.41426,74.96,40393.29,3382723141.53,58161.18
com_dummy_com_std,one_hot,StandardScaler,nenhum,200,10,all,0.347645,76.59,42857.11,3767433340.33,61379.42
com_dummy_com_std,one_hot,StandardScaler,nenhum,200,20,sqrt,0.380356,74.98,41881.61,3578522817.19,59820.76
com_dummy_com_std,one_hot,StandardScaler,nenhum,200,20,log2,0.380356,74.98,41881.61,3578522817.19,59820.76
com_dummy_com_std,one_hot,StandardScaler,nenhum,200,20,all,0.335285,76.54,43376.66,3838811229.09,61958.14
com_dummy_com_std,one_hot,StandardScaler,nenhum,200,None,sqrt,0.377257,74.96,41909.48,3596420755.47,59970.17
com_dummy_com_std,one_hot,StandardScaler,nenhum,200,None,log2,0.377257,74.96,41909.48,3596420755.47,59970.17
com_dummy_com_std,one_hot,StandardScaler,nenhum,200,None,all,0.332271,76.56,43453.58,3856218825.25,62098.46
com_dummy_com_std,one_hot,StandardScaler,nenhum,300,10,sqrt,0.42035,73.7,40051.14,3347553565.48,57858.05
com_dummy_com_std,one_hot,StandardScaler,nenhum,300,10,log2,0.42035,73.7,40051.14,3347553565.48,57858.05
com_dummy_com_std,one_hot,StandardScaler,nenhum,300,10,all,0.348271,75.58,42772.09,3763814247.34,61349.93
