preprocessamento,encoding,padronizacao,target_transform,hidden_layer_sizes,activation,alpha,r2_score,mape,mae,mse,rmse
com_dummy_com_std,one_hot,StandardScaler,log,"(32,)",relu,0.0001,-12.146086,205.98,86817.68,75920302288.32,275536.39
com_dummy_com_std,one_hot,StandardScaler,log,"(64,)",relu,0.0001,-1.529916,89.99,56282.59,14610584561.12,120874.25
com_dummy_com_std,one_hot,StandardScaler,log,"(128, 64)",relu,0.0001,-1.350121,169.9,64432.59,13572242719.64,116499.97
com_dummy_com_std,one_hot,StandardScaler,log,"(64,)",tanh,0.0001,0.134989,57.21,43615.56,4995544915.94,70679.17
com_dummy_com_std,one_hot,StandardScaler,log,"(128, 64)",tanh,0.001,0.292409,51.94,40328.3,4086428133.32,63925.18
com_dummy_com_std,one_hot,StandardScaler,log,"(128, 64, 32)",relu,0.001,-785617.742506,4029.86,8878001.99,4537047169521231.0,67357606.62
com_dummy_com_std,one_hot,StandardScaler,std_target,"(32,)",relu,0.0001,0.456055,72.55,40630.54,3141352888.32,56047.77
com_dummy_com_std,one_hot,StandardScaler,std_target,"(64,)",relu,0.0001,0.338536,81.06,41628.2,3820036785.15,61806.45
com_dummy_com_std,one_hot,StandardScaler,std_target,"(128, 64)",relu,0.0001,0.298695,65.45,42784.37,4050123772.46,63640.58
com_dummy_com_std,one_hot,StandardScaler,std_target,"(64,)",tanh,0.0001,0.383656,71.74,39579.11,3559461996.1,59661.23
com_dummy_com_std,one_hot,StandardScaler,std_target,"(128, 64)",tanh,0.001,0.406904,66.89,39768.65,3425202200.81,58525.23
com_dummy_com_std,one_hot,StandardScaler,std_target,"(128, 64, 32)",relu,0.001,0.309668,97.84,43460.61,3986752817.83,63140.74
com_dummy_sem_std,one_hot,nenhuma,log,"(32,)",relu,0.0001,-12.146086,205.98,86817.68,75920302288.32,275536.39
com_dummy_sem_std,one_hot,nenhuma,log,"(64,)",relu,0.0001,-1.529916,89.99,56282.59,14610584561.12,120874.25
com_dummy_sem_std,one_hot,nenhuma,log,"(128, 64)",relu,0.0001,-1.350121,169.9,64432.59,13572242719.64,116499.97
com_dummy_sem_std,one_hot,nenhuma,log,"(64,)",tanh,0.0001,0.134989,57.21,43615.56,4995544915.94,70679.17
com_dummy_sem_std,one_hot,nenhuma,log,"(128, 64)",tanh,0.001,0.292409,51.94,40328.3,4086428133.32,63925.18
