preprocessamento,encoding,padronizacao,target_transform,grau,r2_score,mape,mae,mse,rmse
com_dummy_com_std,one_hot,StandardScaler,nenhum,2,-0.259788,112.55,54122.11,7275432495.8,85296.15
com_dummy_com_std,one_hot,StandardScaler,nenhum,3,-3.756503,314.95,102246.12,27469406499.75,165738.97
com_dummy_com_std,one_hot,StandardScaler,log,2,-0.582722,100.88,53275.57,9140418293.42,95605.53
com_dummy_com_std,one_hot,StandardScaler,log,3,-38.917557,427.93,141332.25,230528917953.38,480134.27
com_dummy_sem_std,one_hot,nenhuma,nenhum,2,-32777892.486307,208400.8,38310586.8,1.892964625442899e+17,435082133.1
com_dummy_sem_std,one_hot,nenhuma,nenhum,3,-79019109.241291,351939.61,68256389.31,4.56345312377146e+17,675533354.01
com_dummy_sem_std,one_hot,nenhuma,log,2,-6.557502576726905e+31,3.5525588267972e+17,7.384617692105646e+19,3.787040315504189e+41,6.153893333089377e+20
com_dummy_sem_std,one_hot,nenhuma,log,3,-3.93580735489867e+32,1.7257510801135885e+18,4.42468188695695e+20,2.2729783103644376e+42,1.5076399803548715e+21
sem_dummy_com_std,label_encoder,StandardScaler,nenhum,2,-0.581369,79.59,47657.72,9132603969.51,95564.66
sem_dummy_com_std,label_encoder,StandardScaler,nenhum,3,-1.048918,136.46,60421.06,11832761376.2,108778.5
sem_dummy_com_std,label_encoder,StandardScaler,log,2,-255460451.073624,319839.55,101969823.24,1.4753162803980526e+18,1214625983.75
sem_dummy_com_std,label_encoder,StandardScaler,log,3,-907009.411165,4588.93,8578657.89,5238099342657529.0,72374714.8
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,2,-1.299642,114.97,52595.75,13280721997.07,115242.01
sem_dummy_sem_std,label_encoder,nenhuma,nenhum,3,-3747168.889316,71005.7,16290025.1,2.164037798513083e+16,147106689.12
sem_dummy_sem_std,label_encoder,nenhuma,log,2,-1245678.62465,22393.5,7158726.53,7193956698535145.0,84817195.77
sem_dummy_sem_std,label_encoder,nenhuma,log,3,-3.277920281312743e+32,9.997337209428618e+17,3.651201076469769e+20,1.8930402407155884e+42,1.375877989036669e+21
