preprocessamento,encoding,padronizacao,target_transform,kernel,C,epsilon,gamma,degree,r2_score,mape,mae,mse,rmse
com_dummy_com_std,one_hot,StandardScaler,log,linear,1.0,0.1,,,0.496466,57.8,35992.14,2907974882.27,53925.64
com_dummy_com_std,one_hot,StandardScaler,log,linear,10.0,0.1,,,0.496533,57.79,35989.95,2907586900.21,53922.04
com_dummy_com_std,one_hot,StandardScaler,log,rbf,10.0,0.1,scale,,0.224482,61.55,42995.87,4478714228.38,66923.2
com_dummy_com_std,one_hot,StandardScaler,log,rbf,100.0,0.1,scale,,0.123654,64.13,46588.47,5061009714.59,71140.77
com_dummy_com_std,one_hot,StandardScaler,log,rbf,100.0,0.2,auto,,0.164101,61.91,45325.72,4827420236.23,69479.64
com_dummy_com_std,one_hot,StandardScaler,log,poly,10.0,0.1,scale,2,-0.43233,110.57,53149.05,8271887720.75,90949.92
com_dummy_com_std,one_hot,StandardScaler,std_target,linear,1.0,0.1,,,0.453983,60.69,37306.77,3153314263.45,56154.38
com_dummy_com_std,one_hot,StandardScaler,std_target,linear,10.0,0.1,,,0.454328,60.41,37280.16,3151325653.47,56136.67
com_dummy_com_std,one_hot,StandardScaler,std_target,rbf,10.0,0.1,scale,,0.218853,76.56,43471.9,4511221236.63,67165.63
com_dummy_com_std,one_hot,StandardScaler,std_target,rbf,100.0,0.1,scale,,0.186516,78.05,46302.3,4697974667.7,68541.77
com_dummy_com_std,one_hot,StandardScaler,std_target,rbf,100.0,0.2,auto,,0.212859,79.05,45580.86,4545840179.98,67422.85
com_dummy_com_std,one_hot,StandardScaler,std_target,poly,10.0,0.1,scale,2,-0.998892,106.71,55966.35,11543851622.45,107442.32
com_dummy_sem_std,one_hot,nenhuma,log,linear,1.0,0.1,,,0.496466,57.8,35992.14,2907974882.26,53925.64
com_dummy_sem_std,one_hot,nenhuma,log,linear,10.0,0.1,,,0.496533,57.79,35989.95,2907586900.24,53922.04
com_dummy_sem_std,one_hot,nenhuma,log,rbf,10.0,0.1,scale,,0.224482,61.55,42995.87,4478714228.38,66923.2
com_dummy_sem_std,one_hot,nenhuma,log,rbf,100.0,0.1,scale,,0.123654,64.13,46588.47,5061009714.59,71140.77
com_dummy_sem_std,one_hot,nenhuma,log,rbf,100.0,0.2,auto,,0.164101,61.91,45325.72,4827420236.23,69479.64
com_dummy_sem_std,one_hot,nenhuma,log,poly,10.0,0.1,scale,2,-0.43233,110.57,53149.05,8271887720.75,90949.92
com_dummy_sem_std,one_hot,nenhuma,std_target,linear,1.0,0.1,,,0.453983,60.69,37306.77,3153314263.45,56154.38
com_dummy_sem_std,one_hot,nenhuma,std_target,linear,10.0,0.1,,,0.454328,60.41,37280.16,3151325653.46,56136.67
com_dummy_sem_std,one_hot,nenhuma,std_target,rbf,10.0,0.1,scale,,0.218853,76.56,43471.9,4511221236.63,67165.63
com_dummy_sem_std,one_hot,nenhuma,std_target,rbf,100.0,0.1,scale,,0.186516,78.05,46302.3,4697974667.7,68541.77
com_dummy_sem_std,one_hot,nenhuma,std_target,rbf,100.0,0.2,auto,,0.212859,79.05,45580.86,4545840179.98,67422.85
com_dummy_sem_std,one_hot,nenhuma,std_target,poly,10.0,0.1,scale,2,-0.998892,106.71,55966.35,11543851622.45,107442.32
sem_dummy_com_std,label_encoder,StandardScaler,log,linear,1.0,0.1,,,0.446798,82.23,38559.4,3194808916.02,56522.64
sem_dummy_com_std,label_encoder,StandardScaler,log,linear,10.0,0.1,,,0.446918,82.21,38556.35,3194119276.91,56516.54
sem_dummy_com_std,label_encoder,StandardScaler,log,rbf,10.0,0.1,scale,,0.28626,67.86,42455.03,4121937309.87,64202.32
sem_dummy_com_std,label_encoder,StandardScaler,log,rbf,100.0,0.1,scale,,-0.528804,71.84,49243.07,8829036785.63,93962.95
sem_dummy_com_std,label_encoder,StandardScaler,log,rbf,100.0,0.2,auto,,-0.029072,72.84,46285.37,5943019238.16,77090.98
sem_dummy_com_std,label_encoder,StandardScaler,log,poly,10.0,0.1,scale,2,-0.348207,104.55,51933.75,7786063386.04,88238.67
sem_dummy_com_std,label_encoder,StandardScaler,std_target,linear,1.0,0.1,,,0.396403,84.88,40327.33,3485847614.71,59041.07
sem_dummy_com_std,label_encoder,StandardScaler,std_target,linear,10.0,0.1,,,0.396432,84.87,40323.19,3485681046.77,59039.66
sem_dummy_com_std,label_encoder,StandardScaler,std_target,rbf,10.0,0.1,scale,,0.356288,73.98,41128.61,3717517729.16,60971.45
sem_dummy_com_std,label_encoder,StandardScaler,std_target,rbf,100.0,0.1,scale,,0.25761,71.72,43919.69,4287392945.52,65478.19
sem_dummy_com_std,label_encoder,StandardScaler,std_target,rbf,100.0,0.2,auto,,0.300429,77.88,42854.79,4040107788.75,63561.84
sem_dummy_com_std,label_encoder,StandardScaler,std_target,poly,10.0,0.1,scale,2,-1.130135,125.36,58872.94,12301798145.07,110913.47
sem_dummy_sem_std,label_encoder,nenhuma,log,linear,1.0,0.1,,,0.446798,82.23,38559.4,3194808916.02,56522.64
sem_dummy_sem_std,label_encoder,nenhuma,log,linear,10.0,0.1,,,0.446918,82.21,38556.35,3194119276.32,56516.54
sem_dummy_sem_std,label_encoder,nenhuma,log,rbf,10.0,0.1,scale,,0.28626,67.86,42455.03,4121937309.87,64202.32
sem_dummy_sem_std,label_encoder,nenhuma,log,rbf,100.0,0.1,scale,,-0.528804,71.84,49243.07,8829036785.63,93962.95
sem_dummy_sem_std,label_encoder,nenhuma,log,rbf,100.0,0.2,auto,,-0.029072,72.84,46285.37,5943019238.16,77090.98
sem_dummy_sem_std,label_encoder,nenhuma,log,poly,10.0,0.1,scale,2,-0.348207,104.55,51933.75,7786063386.04,88238.67
sem_dummy_sem_std,label_encoder,nenhuma,std_target,linear,1.0,0.1,,,0.396403,84.88,40327.33,3485847614.71,59041.07
sem_dummy_sem_std,label_encoder,nenhuma,std_target,linear,10.0,0.1,,,0.396432,84.87,40323.19,3485681046.77,59039.66
sem_dummy_sem_std,label_encoder,nenhuma,std_target,rbf,10.0,0.1,scale,,0.356288,73.98,41128.61,3717517729.16,60971.45
sem_dummy_sem_std,label_encoder,nenhuma,std_target,rbf,100.0,0.1,scale,,0.25761,71.72,43919.69,4287392945.52,65478.19
sem_dummy_sem_std,label_encoder,nenhuma,std_target,rbf,100.0,0.2,auto,,0.300429,77.88,42854.79,4040107788.75,63561.84
sem_dummy_sem_std,label_encoder,nenhuma,std_target,poly,10.0,0.1,scale,2,-1.130135,125.36,58872.94,12301798145.07,110913.47
